,trainer/global_step,train_teacher_forcing_acc,_step,train_loss,_runtime,epoch,_timestamp,interpolate_loss,interpolate_teacher_forcing_acc,extrapolate_loss,extrapolate_teacher_forcing_acc,interpolate_perplexity,extrapolate_perplexity,in_block_size,d_model,decoder_kwargs,symbol_retrieval_kwargs,out_dim,loss_ignore_idx,n_layers_enc,input_spec,abstractor_kwargs,symbol_retrieval,encoder_kwargs,group,output_spec,out_block_size,n_layers_dec,name
70,234359,,70,,15501.76637506485,59,1722861569.272051,1.4965242147445679,0.5571601986885071,1.4965242147445679,0.5571601986885071,4.469919681549072,4.469919681549072,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
71,234359,0.8052268624305725,71,0.4997364282608032,15501.768014907837,59,1722861569.273691,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
72,238265,0.8095718622207642,72,0.4870545268058777,15750.205205917358,60,1722861817.710882,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
73,242171,0.8129436373710632,73,0.47806820273399353,15998.628382205963,61,1722862066.1340582,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
74,246077,0.8154061436653137,74,0.4711543619632721,16247.032750368118,62,1722862314.5384264,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
75,249983,0.8190029263496399,75,0.45985379815101624,16495.448669195175,63,1722862562.9543452,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
76,253889,,76,,16792.058685302734,64,1722862859.5643613,1.5342081785202026,0.5525500774383545,1.5342081785202026,0.5525500774383545,4.641755104064941,4.641755104064941,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
77,253889,0.8136124014854431,77,0.47736766934394836,16792.060311079025,64,1722862859.565987,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
78,257795,0.8246613144874573,78,0.44374528527259827,17040.518787145615,65,1722863108.0244632,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
79,261701,0.8280434608459473,79,0.4343366026878357,17288.970799446106,66,1722863356.4764755,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
80,265607,0.8308184146881104,80,0.4268878400325775,17537.415640354156,67,1722863604.9213164,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
81,269513,0.8343225717544556,81,0.41706836223602295,17785.864493131638,68,1722863853.3701692,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
82,273419,,82,,18082.45730781555,69,1722864149.9629838,1.7436202764511108,0.5233503580093384,1.7436202764511108,0.5233503580093384,5.724337577819824,5.724337577819824,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
83,273419,0.8367732763290405,83,0.41043177247047424,18082.458906173706,69,1722864149.9645822,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
84,277325,0.8392177820205688,84,0.4045931398868561,18331.00542974472,70,1722864398.5111058,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
85,281231,0.8420823812484741,85,0.39625421166419983,18579.503601551056,71,1722864647.0092776,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
86,285137,0.84428471326828,86,0.38999223709106445,18827.97559928894,72,1722864895.4812753,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
87,289043,0.8468260765075684,87,0.3834786117076874,19076.525151968002,73,1722865144.030828,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
88,292949,,88,,19373.082043409348,74,1722865440.5877194,1.6762089729309082,0.5273352265357971,1.6762089729309082,0.5273352265357971,5.350561618804932,5.350561618804932,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
