,_step,train_loss,epoch,_runtime,_timestamp,interpolate_loss,trainer/global_step,extrapolate_teacher_forcing_acc,train_teacher_forcing_acc,interpolate_teacher_forcing_acc,extrapolate_loss,extrapolate_perplexity,interpolate_perplexity,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
69,69,0.20893043279647827,58,19431.15603542328,1723909082.6020615,,230453,,0.9231008291244507,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
70,70,,59,19808.662115335464,1723909460.1081414,0.2783386707305908,234359,0.8959009051322937,,0.8959009051322937,0.2783386707305908,1.321038842201233,1.321038842201233,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
71,71,0.20718412101268768,59,19808.663872241974,1723909460.1098983,,234359,,0.9239409565925598,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
72,72,0.2049400955438614,60,20126.901079416275,1723909778.3471055,,238265,,0.9247878193855286,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
73,73,0.20231840014457703,61,20445.035728931427,1723910096.481755,,242171,,0.9258392453193665,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
74,74,0.20095017552375793,62,20763.176501750946,1723910414.6225278,,246077,,0.9263910055160522,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
75,75,0.19933636486530304,63,21081.434804916382,1723910732.880831,,249983,,0.9270409941673279,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
76,76,,64,21458.77871108055,1723911110.2247372,0.26859062910079956,253889,0.8996521830558777,,0.8996521830558777,0.26859062910079956,1.308220624923706,1.308220624923706,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
77,77,0.19698402285575867,64,21458.780443906784,1723911110.22647,,253889,,0.9279618859291077,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
78,78,0.19555296003818512,65,21776.899592399597,1723911428.3456185,,257795,,0.928514838218689,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
79,79,0.19362807273864746,66,22095.158402442932,1723911746.6044285,,261701,,0.9293125867843628,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
