,trainer/global_step,extrapolate_teacher_forcing_acc,_runtime,extrapolate_loss,extrapolate_perplexity,interpolate_perplexity,_timestamp,interpolate_loss,interpolate_teacher_forcing_acc,train_teacher_forcing_acc,_step,epoch,train_loss,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
72,238265.0,,19932.578360795975,,,,1723911141.5522888,,,0.9997683167457581,72.0,60.0,0.0010028255637735128,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
73,242171.0,,20247.44433093071,,,,1723911456.418259,,,0.999772846698761,73.0,61.0,0.0009821696439757943,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
74,246077.0,,20562.530838489532,,,,1723911771.5047665,,,0.9997780323028564,74.0,62.0,0.0009481894667260349,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
75,249983.0,,20877.447024583817,,,,1723912086.4209526,,,0.9997757077217102,75.0,63.0,0.0009802194545045495,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
76,253889.0,0.9999964237213135,21251.37118077278,1.2197764590382576e-05,1.0000098943710327,1.0000098943710327,1723912460.3451087,1.2197764590382576e-05,0.9999964237213135,,76.0,64.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
77,253889.0,,21251.37293601036,,,,1723912460.346864,,,0.9997833967208862,77.0,64.0,0.0009236886980943382,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
78,257795.0,,21566.183306455612,,,,1723912775.1572344,,,0.9997832775115967,78.0,65.0,0.0009374493965879083,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
79,261701.0,,21881.109395980835,,,,1723913090.083324,,,0.9997954964637756,79.0,66.0,0.0008944733417592943,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
80,265607.0,,22195.93461203575,,,,1723913404.90854,,,0.9997879862785339,80.0,67.0,0.000915332289878279,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
81,269513.0,,22510.94633746147,,,,1723913719.9202654,,,0.9998006224632263,81.0,68.0,0.0008749296539463103,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
82,273419.0,0.9999986886978149,22885.003378868103,6.728907919750782e-06,1.0000051259994507,1.0000051259994507,1723914093.9773068,6.728907919750782e-06,0.9999986886978149,,82.0,69.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
83,273419.0,,22885.005123615265,,,,1723914093.9790516,,,0.9997999668121338,83.0,69.0,0.0008791711879894137,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
